root_domain,domain,destination_country,added_by,added_date,review_due
example.com,example.com,KR,your name,2023-09-01,2024-09-01
telegraph.co.uk,www.telegraph.co.uk,LK,James Bartosik,2023-09-19,2024-09-19
telegraph.co.uk,app.telegraph.co.uk,LK,James Bartosik,2023-09-19,2024-09-19
puri.sm,forums.puri.sm,IR,James Bartosik,2023-09-19,2024-09-19
icloud.com,probe.icloud.com,IN,James Bartosik,2023-09-19,2024-09-19
apple-dns.net,probe.me.apple-dns.net,IN,James Bartosik,2023-09-19,2024-09-19
akamaiedge.net,e8153.a.akamaiedge.net,LK,James Bartosik,2023-09-19,2023-09-19
